id,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,availability_365
36257303,Villa de Vallecas,Santa Eugenia,40.37835,-3.60493,100,1,363
36257431,Salamanca,Goya,40.42769,-3.67868,157,2,80
36262390,Centro,Justicia,40.42198,-3.69848,98,1,204
36262409,Centro,Justicia,40.42036,-3.697,114,1,210
36262428,Chamberí,Vallehermoso,40.4415,-3.70718,92,1,235
36262482,Chamberí,Vallehermoso,40.43953,-3.70911,103,1,185
36264663,Centro,Embajadores,40.41141,-3.7035,42,4,254
36265218,Retiro,Ibiza,40.41761,-3.6755,35,2,318
36266089,Centro,Cortes,40.41435,-3.70088,123,2,229
36266308,Arganzuela,Imperial,40.40752,-3.7145,42,1,90
36266916,Chamberí,Arapiles,40.43137,-3.71004,35,3,365
36267467,Chamberí,Arapiles,40.43,-3.70937,35,3,365
36268289,Arganzuela,Legazpi,40.39276,-3.68689,137,3,365
36271610,Moncloa - Aravaca,Argüelles,40.42895,-3.7186,50,7,1
36274041,Centro,Palacio,40.42173,-3.7099,30,1,0
36275765,Arganzuela,Chopera,40.39556,-3.69706,80,2,0
36276751,Arganzuela,Chopera,40.39151,-3.69619,70,2,0
36281576,Centro,Embajadores,40.4096,-3.69615,42,5,0
36288264,Centro,Universidad,40.42535,-3.70499,17,4,87
36291110,San Blas - Canillejas,Rosas,40.43542,-3.60796,75,1,180
36293453,Moncloa - Aravaca,Casa de Campo,40.43108,-3.72674,18,14,0
36293640,Chamartín,Prosperidad,40.44083,-3.67387,81,3,0
36293840,Moncloa - Aravaca,Casa de Campo,40.4291,-3.72617,16,14,0
36294301,Moncloa - Aravaca,Casa de Campo,40.42966,-3.7247,17,20,0
36294553,Tetuán,Bellas Vistas,40.45063,-3.7068,108,1,290
36295337,Centro,Palacio,40.41951,-3.70903,18,1,340
36296698,Carabanchel,Puerta Bonita,40.38459,-3.72869,100,1,365
36297140,Carabanchel,Abrantes,40.38296,-3.72887,100,1,1
36297186,Centro,Sol,40.41874,-3.6997,84,3,91
36298722,Centro,Sol,40.42017,-3.70673,16,1,353
36298898,Centro,Palacio,40.42026,-3.70696,18,1,362
36299324,Centro,Sol,40.42015,-3.70712,16,1,352
36299495,Centro,Sol,40.42006,-3.70732,18,1,349
36301702,Centro,Embajadores,40.40927,-3.69945,71,1,319
36301725,Centro,Universidad,40.42167,-3.70435,112,1,119
36303854,Puente de Vallecas,Portazgo,40.38295,-3.65006,350,1,180
36305587,Centro,Palacio,40.42153,-3.712,137,2,176
36305725,San Blas - Canillejas,Canillejas,40.44752,-3.61102,20,1,0
36306951,Tetuán,Valdeacederas,40.46666,-3.69727,17,29,0
36308730,Centro,Sol,40.41801,-3.70432,60,3,365
36312931,Retiro,Ibiza,40.42083,-3.67837,37,1,90
36314880,Carabanchel,Abrantes,40.38472,-3.72705,100,1,365
36326840,Carabanchel,Abrantes,40.38475,-3.72476,100,1,365
36327634,Chamberí,Rios Rosas,40.44502,-3.69991,75,2,0
36329108,Tetuán,Bellas Vistas,40.45108,-3.70885,38,2,90
36329948,Centro,Universidad,40.42595,-3.70606,55,2,0
36332808,Centro,Embajadores,40.41285,-3.70531,119,1,104
36334371,Centro,Embajadores,40.41078,-3.70757,48,2,338
36334501,Salamanca,Guindalera,40.4352,-3.66954,30,3,0
36334930,Centro,Sol,40.41773,-3.70226,60,30,0
36341661,Centro,Embajadores,40.4092,-3.70527,20,2,15
36342652,Vicálvaro,Casco Histórico de Vicálvaro,40.40161,-3.5626,35,1,83
36344170,Hortaleza,Canillas,40.46866,-3.64492,95,1,87
36345043,Centro,Justicia,40.42333,-3.69577,170,2,89
36346840,Centro,Sol,40.41818,-3.70068,104,2,365
36348620,Ciudad Lineal,Pueblo Nuevo,40.42235,-3.6287,50,2,0
36349561,Arganzuela,Chopera,40.395,-3.69625,20,1,0
