listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,log_price,year,month,day,dayofweek,is_weekend,quarter,is_holiday,days_since_start,mean_airbnb_price,last_year_price,neighbourhood
2873841,2021-04-14,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,14,2,0,2,False,1,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-15,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,15,3,0,2,False,2,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-16,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,4,16,4,0,2,False,3,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-17,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,4,17,5,1,2,False,4,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-18,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,18,6,1,2,False,5,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-19,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,19,0,0,2,False,6,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-20,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,20,1,0,2,False,7,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-21,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,21,2,0,2,False,8,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-22,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,22,3,0,2,False,9,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-23,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,4,23,4,0,2,False,10,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-24,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,4,24,5,1,2,False,11,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-25,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,25,6,1,2,False,12,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-26,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,26,0,0,2,False,13,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-27,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,27,1,0,2,False,14,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-28,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,28,2,0,2,False,15,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-29,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,4,29,3,0,2,False,16,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-04-30,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,4,30,4,0,2,False,17,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-01,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,5,1,5,1,2,False,18,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-02,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,5,2,6,1,2,False,19,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-03,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,5,3,0,0,2,False,20,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-04,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,5,4,1,0,2,False,21,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-05,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,5,5,2,0,2,False,22,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-06,f,35.0,$35.00,2.0,3.0,3.58351893845611,2021,5,6,3,0,2,False,23,36.13972602739726,36.13972602739726,El Pardo
2873841,2021-05-07,f,39.0,$39.00,2.0,3.0,3.688879454113936,2021,5,7,4,0,2,False,24,36.13972602739726,36.13972602739726,El Pardo
